,event_key,total_person_count,injured_person_count,Minor_count,Serious_count,Fatal_count,ev_id,Aircraft_key
212,20080324X00374_1,2.0,0.0,0.0,0.0,0.0,20080324X00374,1
213,20080325X00381_1,1.0,1.0,0.0,0.0,1.0,20080325X00381,1
214,20080325X00382_1,2.0,2.0,2.0,0.0,0.0,20080325X00382,1
215,20080325X00383_1,2.0,0.0,0.0,0.0,0.0,20080325X00383,1
216,20080325X00384_1,1.0,0.0,0.0,0.0,0.0,20080325X00384,1
217,20080325X00385_1,1.0,1.0,0.0,1.0,0.0,20080325X00385,1
218,20080326X00386_1,1.0,0.0,0.0,0.0,0.0,20080326X00386,1
219,20080326X00387_1,2.0,0.0,0.0,0.0,0.0,20080326X00387,1
220,20080326X00388_1,1.0,0.0,0.0,0.0,0.0,20080326X00388,1
221,20080326X00389_1,1.0,0.0,0.0,0.0,0.0,20080326X00389,1
222,20080327X00391_1,1.0,1.0,1.0,0.0,0.0,20080327X00391,1
223,20080327X00392_1,3.0,0.0,0.0,0.0,0.0,20080327X00392,1
224,20080328X00396_1,1.0,1.0,1.0,0.0,0.0,20080328X00396,1
225,20080328X00397_1,1.0,0.0,0.0,0.0,0.0,20080328X00397,1
226,20080330X00398_1,2.0,0.0,0.0,0.0,0.0,20080330X00398,1
227,20080330X00399_1,1.0,0.0,0.0,0.0,0.0,20080330X00399,1
228,20080331X00400_1,1.0,1.0,1.0,0.0,0.0,20080331X00400,1
229,20080331X00402_1,1.0,0.0,0.0,0.0,0.0,20080331X00402,1
230,20080331X00403_1,1.0,0.0,0.0,0.0,0.0,20080331X00403,1
231,20080331X00404_1,13.0,0.0,0.0,0.0,0.0,20080331X00404,1
232,20080401X00405_1,4.0,0.0,0.0,0.0,0.0,20080401X00405,1
233,20080401X00406_1,3.0,0.0,0.0,0.0,0.0,20080401X00406,1
234,20080401X00412_1,1.0,0.0,0.0,0.0,0.0,20080401X00412,1
235,20080402X00413_1,1.0,0.0,0.0,0.0,0.0,20080402X00413,1
236,20080402X00414_1,3.0,0.0,0.0,0.0,0.0,20080402X00414,1
237,20080403X00415_1,1.0,0.0,0.0,0.0,0.0,20080403X00415,1
238,20080403X00416_1,6.0,6.0,1.0,5.0,0.0,20080403X00416,1
239,20080403X00418_1,1.0,0.0,0.0,0.0,0.0,20080403X00418,1
240,20080403X00419_1,1.0,1.0,0.0,0.0,1.0,20080403X00419,1
241,20080403X00421_1,3.0,0.0,0.0,0.0,0.0,20080403X00421,1
242,20080403X00422_1,1.0,1.0,1.0,0.0,0.0,20080403X00422,1
243,20080403X00423_1,2.0,0.0,0.0,0.0,0.0,20080403X00423,1
244,20080403X00424_1,1.0,0.0,0.0,0.0,0.0,20080403X00424,1
245,20080403X00425_1,1.0,1.0,1.0,0.0,0.0,20080403X00425,1
246,20080404X00426_1,118.0,0.0,0.0,0.0,0.0,20080404X00426,1
247,20080404X00427_1,2.0,0.0,0.0,0.0,0.0,20080404X00427,1
248,20080404X00429_1,1.0,0.0,0.0,0.0,0.0,20080404X00429,1
249,20080404X00430_1,2.0,0.0,0.0,0.0,0.0,20080404X00430,1
250,20080404X00431_1,1.0,0.0,0.0,0.0,0.0,20080404X00431,1
251,20080404X00432_1,403.0,0.0,0.0,0.0,0.0,20080404X00432,1
252,20080407X00433_1,3.0,0.0,0.0,0.0,0.0,20080407X00433,1
253,20080407X00434_1,1.0,1.0,1.0,0.0,0.0,20080407X00434,1
254,20080407X00435_1,1.0,0.0,0.0,0.0,0.0,20080407X00435,1
255,20080408X00436_1,1.0,0.0,0.0,0.0,0.0,20080408X00436,1
256,20080408X00437_1,2.0,2.0,0.0,0.0,2.0,20080408X00437,1
257,20080408X00438_1,4.0,0.0,0.0,0.0,0.0,20080408X00438,1
258,20080408X00439_1,2.0,0.0,0.0,0.0,0.0,20080408X00439,1
259,20080408X00440_1,2.0,0.0,0.0,0.0,0.0,20080408X00440,1
