ev_id,ntsb_no,ev_type,ev_date,ev_time,ev_country,ev_year,ev_month,on_ground_collision,latitude,longitude,apt_dist,light_cond,wind_vel_kts,gust_kts,altimeter,ev_highest_injury,inj_f_grnd,inj_m_grnd,inj_s_grnd,ev_inj_tot_f,ev_inj_tot_m,ev_inj_tot_n,ev_inj_tot_s,ev_inj_tot_t,BroadPhaseofFlight,aircraft_count,Aircraft_ID,event_key,Aircraft_Key,eng_type,far_part,damage,acft_make,acft_category,homebuilt,total_seats,num_eng,fixed_retractable,date_last_insp,owner_acft,certs_held,oprtng_cert,oper_cert,second_pilot,evacuation,rwy_len,rwy_width,acft_year,fuel_on_board,unmanned,acft_fatal_count,acft_minor_count,acft_none_count,acft_serious_count,acft_total_person_count,acft_injured_person_count
20221219106470,ERA23LA091,ACC,12/16/22 00:00:00,2015.0,USA,2022,12,,282825N,0822719W,1.0,DAYL,4.0,0.0,30.02,MINR,0.0,0.0,0.0,0,1,0,0,1.0,Landing,1.0,1,20221219106470_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221219106472,DCA23LA096,ACC,12/18/22 00:00:00,2007.0,USA,2022,12,,205321N,1562822W,0.0,DAYL,,0.0,0.0,SERS,,,,0,21,271,4,296.0,Enroute,1.0,1,20221219106472_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221219106474,ANC23LA009,ACC,12/15/22 00:00:00,2205.0,USA,2022,12,,215815N,0159217W,0.5,DAYL,10.0,0.0,29.82,SERS,,,,0,1,0,1,2.0,Takeoff,1.0,1,20221219106474_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221219106476,WPR23LA070,ACC,12/18/22 00:00:00,2130.0,USA,2022,12,,424232N,1105632W,0.0,DAYL,,0.0,29.879999,MINR,0.0,0.0,0.0,0,1,0,0,1.0,Landing,1.0,1,20221219106476_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221219106477,WPR23LA071,ACC,12/18/22 00:00:00,1425.0,USA,2022,12,,323824N,0110390W,0.0,DAYL,,0.0,2992.0,NONE,,,,0,0,3,0,3.0,Landing,1.0,1,20221219106477_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221220106479,CEN23LA066,ACC,12/19/22 00:00:00,2105.0,USA,2022,12,,361642N,0009399W,0.0,DAYL,8.0,0.0,30.209999,NONE,0.0,0.0,0.0,0,0,2,0,2.0,Approach,1.0,1,20221220106479_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221220106480,WPR23LA072,ACC,12/13/22 00:00:00,1900.0,USA,2022,12,,037224N,1005736W,0.5,NDRK,10.0,0.0,2968.0,NONE,,,,0,0,1,0,1.0,Standing,1.0,1,20221220106480_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221221106483,CEN23LA067,ACC,12/21/22 00:00:00,1447.0,USA,2022,12,,424016N,0831314W,0.0,DAYL,,0.0,30.379999,MINR,,,,0,1,0,0,1.0,Enroute,1.0,1,20221221106483_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221222106486,CEN23LA068,ACC,12/21/22 00:00:00,1954.0,USA,2022,12,,030515N,0903458W,0.0,NITE,3.0,0.0,30.139999,NONE,,,,0,0,2,0,2.0,Initial Climb,1.0,1,20221222106486_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221223106489,WPR23FA073,ACC,12/22/22 00:00:00,2318.0,USA,2022,12,,034022N,1182940W,2.5,DAYL,4.0,0.0,30.040001,FATL,,,,1,1,0,0,2.0,Enroute,1.0,1,20221223106489_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221227106491,ERA23LA093,ACC,12/26/22 00:00:00,1522.0,USA,2022,12,,385634N,0076346W,1.0,DAYL,6.0,0.0,30.309999,MINR,,,,0,1,0,0,1.0,Initial Climb,1.0,1,20221227106491_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221227106492,ERA23LA094,ACC,12/26/22 00:00:00,2035.0,USA,2022,12,,364210N,0765334W,1.0,NITE,,0.0,30.27,MINR,,,,0,1,0,0,1.0,Initial Climb,1.0,1,20221227106492_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
20221227106494,ERA23LA095,ACC,12/26/22 00:00:00,1735.0,USA,2022,12,,425741N,0704949W,0.0,DAYL,8.0,0.0,30.09,NONE,,0.0,,0,0,1,0,1.0,Landing,1.0,1,20221227106494_1,,,,UNK,,,,,,,,,,,,,,,,,,,,,,,,
