,accident_id,engine_ELEC,engine_GTFN,engine_HR,engine_LR,engine_NONE,engine_REC,engine_TF,engine_TJ,engine_TP,engine_TS,engine_UNK
251,20080317X00316_1,0,0,0,0,0,1,0,0,0,0,0
252,20080416X00492_1,0,0,0,0,0,1,0,0,0,0,0
253,20080317X00319_1,0,0,0,0,0,1,0,0,0,0,0
254,20080403X00418_1,0,0,0,0,0,0,0,0,0,1,0
255,20080325X00384_1,0,0,0,0,0,1,0,0,0,0,0
256,20080320X00346_1,0,0,0,0,0,1,0,0,0,0,0
257,20080321X00352_1,0,0,0,0,0,1,0,0,0,0,0
259,20080414X00472_1,0,0,0,0,0,1,0,0,0,0,0
260,20080321X00349_1,0,0,0,0,0,1,0,0,0,0,0
261,20080321X00357_1,0,0,0,0,0,1,0,0,0,0,0
262,20080402X00413_1,0,0,0,0,0,1,0,0,0,0,0
263,20080414X00474_1,0,0,0,0,0,1,0,0,0,0,0
264,20080414X00470_1,0,0,0,0,0,1,0,0,0,0,0
265,20080325X00385_1,0,0,0,0,0,1,0,0,0,0,0
266,20080404X00431_1,0,0,0,0,0,1,0,0,0,0,0
267,20080415X00488_1,0,0,0,0,0,1,0,0,0,0,0
268,20080327X00391_1,0,0,0,0,0,1,0,0,0,0,0
269,20080319X00332_1,0,0,0,0,0,1,0,0,0,0,0
270,20080518X00691_1,0,0,0,0,0,1,0,0,0,0,0
271,20080408X00438_1,0,0,0,0,0,1,0,0,0,0,0
273,20080320X00340_1,0,0,0,0,0,1,0,0,0,0,0
274,20080321X00348_1,0,0,0,0,0,1,0,0,0,0,0
275,20080425X00547_1,0,0,0,0,0,1,0,0,0,0,0
276,20080414X00475_1,0,0,0,0,0,1,0,0,0,0,0
277,20080321X00355_1,0,0,0,0,0,0,0,0,1,0,0
279,20080321X00358_1,0,0,0,0,0,1,0,0,0,0,0
280,20080324X00373_1,0,0,0,0,0,1,0,0,0,0,0
282,20080321X00356_1,0,0,0,0,0,1,0,0,0,0,0
283,20080324X00372_1,0,0,0,0,0,1,0,0,0,0,0
284,20080401X00412_1,0,0,0,0,0,1,0,0,0,0,0
285,20080418X00516_1,0,0,0,0,0,1,0,0,0,0,0
286,20080425X00556_1,0,0,0,0,0,1,0,0,0,0,0
287,20080401X00405_1,0,0,0,0,0,1,0,0,0,0,0
288,20080425X00557_1,0,0,0,0,0,1,0,0,0,0,0
289,20080325X00382_1,0,0,0,0,0,1,0,0,0,0,0
290,20080319X00333_1,0,0,0,0,0,1,0,0,0,0,0
291,20080319X00334_1,0,0,0,0,0,1,0,0,0,0,0
292,20080319X00335_1,0,0,0,0,0,1,0,0,0,0,0
293,20080401X00406_1,0,0,0,0,0,1,0,0,0,0,0
294,20080417X00511_1,0,0,0,0,0,1,0,0,0,0,0
295,20080325X00381_1,0,0,0,0,0,1,0,0,0,0,0
296,20080411X00462_1,0,0,0,0,0,1,0,0,0,0,0
297,20080324X00369_1,0,0,0,0,0,1,0,0,0,0,0
298,20080331X00403_1,0,0,0,0,0,0,0,0,1,0,0
299,20080410X00453_1,0,0,0,0,0,1,0,0,0,0,0
301,20080418X00513_1,0,0,0,0,0,1,0,0,0,0,0
302,20080328X00397_1,0,0,0,0,0,1,0,0,0,0,0
304,20080421X00525_1,0,0,0,0,0,1,0,0,0,0,0
305,20080512X00652_1,0,0,0,0,0,0,0,0,0,0,0
306,20080511X00647_1,0,0,0,0,0,0,0,0,0,1,0
308,20080414X00471_1,0,0,0,0,0,1,0,0,0,0,0
309,20080415X00484_1,0,0,0,0,0,1,0,0,0,0,0
310,20080422X00531_1,0,0,0,0,0,1,0,0,0,0,0
311,20080328X00396_1,0,0,0,0,0,0,0,0,1,0,0
312,20080521X00704_1,0,0,0,0,0,1,0,0,0,0,0
313,20080415X00485_1,0,0,0,0,0,1,0,0,0,0,0
314,20080408X00437_1,0,0,0,0,0,1,0,0,0,0,0
315,20080416X00497_1,0,0,0,0,0,1,0,0,0,0,0
316,20080403X00422_1,0,0,0,0,0,1,0,0,0,0,0
317,20080403X00419_1,0,0,0,0,0,1,0,0,0,0,0
318,20080331X00400_1,0,0,0,0,0,1,0,0,0,0,0
319,20080331X00402_1,0,0,0,0,0,1,0,0,0,0,0
320,20080425X00544_1,0,0,0,0,0,1,0,0,0,0,0
321,20080331X00404_1,0,0,0,0,0,0,0,0,1,0,0
322,20080416X00498_1,0,0,0,0,0,1,0,0,0,0,0
323,20080430X00568_1,0,0,0,0,0,1,0,0,0,0,0
324,20080610X00820_1,0,0,0,0,0,1,0,0,0,0,0
326,20080404X00426_1,0,0,0,0,0,0,1,0,0,0,0
328,20080424X00539_1,0,0,0,0,0,1,0,0,0,0,0
329,20080416X00493_1,0,0,0,0,0,1,0,0,0,0,0
330,20080409X00441_1,0,0,0,0,0,1,0,0,0,0,0
331,20080518X00692_1,0,0,0,0,0,1,0,0,0,0,0
332,20080418X00515_1,0,0,0,0,0,1,0,0,0,0,0
333,20080402X00414_1,0,0,0,0,0,1,0,0,0,0,0
334,20080410X00452_1,0,0,0,0,0,1,0,0,0,0,0
335,20080403X00415_1,0,0,0,0,0,1,0,0,0,0,0
336,20080424X00535_1,0,0,0,0,0,1,0,0,0,0,0
337,20080403X00416_1,0,0,0,0,0,0,0,0,0,0,0
338,20080408X00436_1,0,0,0,0,0,1,0,0,0,0,0
339,20080509X00643_1,0,0,0,0,0,1,0,0,0,0,0
340,20080509X00643_2,0,0,0,0,0,0,0,0,1,0,0
341,20080403X00425_1,0,0,0,0,0,1,0,0,0,0,0
342,20080404X00432_1,0,0,0,0,0,0,1,0,0,0,0
344,20080407X00434_1,0,0,0,0,0,1,0,0,0,0,0
345,20080509X00644_1,0,0,0,0,0,1,0,0,0,0,0
346,20080409X00445_1,0,0,0,0,0,0,1,0,0,0,0
347,20080522X00713_1,0,0,0,0,0,1,0,0,0,0,0
348,20080505X00597_1,0,0,0,0,0,1,0,0,0,0,0
349,20080522X00711_1,0,0,0,0,0,1,0,0,0,0,0
350,20080421X00520_1,0,0,0,0,0,1,0,0,0,0,0
351,20080407X00433_1,0,0,0,0,0,1,0,0,0,0,0
352,20080430X00574_1,0,0,0,0,0,1,0,0,0,0,0
353,20080430X00570_1,0,0,0,0,0,1,0,0,0,0,0
354,20080410X00447_1,0,0,0,0,0,1,0,0,0,0,0
355,20080722X01094_1,0,0,0,0,0,0,1,0,0,0,0
357,20080914X01449_1,0,0,0,0,0,1,0,0,0,0,0
358,20080515X00669_1,0,0,0,0,0,1,0,0,0,0,0
359,20080410X00448_1,0,0,0,0,0,1,0,0,0,0,0
360,20080422X00528_1,0,0,0,0,0,1,0,0,0,0,0
361,20080421X00519_1,0,0,0,0,0,1,0,0,0,0,0
